id,lat,lon
1704297071,55.5031954,7.7963681
1704297087,55.5032822,7.8052317
1704297110,55.5033683,7.8140955
1704297128,55.5034539,7.8229592
1704297152,55.5035387,7.831823
1704297167,55.5036229,7.8406869
1704297195,55.5037065,7.8495508
1704297202,55.5037895,7.8584147
1704297240,55.5038718,7.8672787
1704297275,55.5039534,7.8761428
1704297329,55.556484,7.5467929
1704297339,55.557017,7.5553824
1704297364,55.5575403,7.5639725
1704297375,55.558072,7.5725626
1704297432,55.5585941,7.5811531
1704297450,55.5591246,7.5897436
1704297495,55.5596456,7.5983347
1704297505,55.5645952,7.5457164
1704297538,55.564805,7.5543354
1704297555,55.5650234,7.5629701
1704297566,55.5652321,7.5716051
1704297599,55.5654403,7.5802403
1704297637,55.5656569,7.5888753
1704297671,55.5658638,7.5975106
1704297699,55.572099,7.5973836
1704297744,55.5722066,7.5887514
1704297765,55.5723135,7.5801033
1704297800,55.5724198,7.5714711
1704297811,55.5725165,7.5628233
1704297829,55.5726216,7.554191
1704297848,55.572726,7.5455428
1704297877,55.5783246,7.5979865
1704297884,55.578747,7.5893734
1704297912,55.5791688,7.5807601
1704297923,55.57959,7.5721467
1704297957,55.5800106,7.5635331
1704297971,55.5804306,7.5549193
1704298005,55.58085,7.5463053
1704298042,55.5845132,7.599289
1704298056,55.5852511,7.5907426
1704298073,55.5859883,7.5821959
1704298109,55.5867249,7.5736489
1704298120,55.5881691,7.5566014
1704298129,55.5874519,7.5651019
1704298153,55.5889221,7.5480063
1704298204,55.5906469,7.6012921
1704298209,55.5916916,7.5928445
1704298241,55.5927446,7.5843961
1704298262,55.5937881,7.5759477
1704298273,55.5948309,7.5674988
1704298302,55.5958732,7.5590494
1704298325,55.5966898,7.6039973
1704298354,55.5969149,7.5505996
1704298371,55.5980416,7.5956804
1704298388,55.5994019,7.5873625
1704298399,55.6007528,7.5790603
1704298420,55.6021029,7.5707417
1704298429,55.6026233,7.6073739
1704298448,55.6034527,7.5624383
1704298456,55.604283,7.5992353
1704298480,55.6048017,7.5541185
1704298496,55.6059331,7.5910964
1704298524,55.6075827,7.5829568
1704298533,55.6084207,7.611439
1704298548,55.6092407,7.5748162
1704298560,55.6103705,7.6034954
1704298586,55.6108891,7.5666593
1704298597,55.6123197,7.5955511
1704298607,55.612546,7.5585174
1704298643,55.6140635,7.6161458
1704298661,55.6142686,7.5876219
1704298668,55.6162167,7.579676
1704298693,55.6162949,7.6084454
1704298711,55.6181646,7.5717453
1704298732,55.6185258,7.6007442
1704298752,55.6195155,7.6214799
1704298788,55.6201027,7.5637981
1704298836,55.6207652,7.5930418
1704298854,55.6220199,7.614055
1704298868,55.6229951,7.5853388
1704298886,55.6245328,7.6066288
1704298912,55.6247585,7.6274422
1704298923,55.6252245,7.577635
1704298943,55.6270453,7.5992017
1704298954,55.6274624,7.5699299
1704298978,55.6275362,7.6203089
1704299039,55.6295572,7.5917578
1704299059,55.6297774,7.6339958
1704299105,55.6303136,7.6131904
1704299122,55.6320688,7.5843288
1704299162,55.6328075,7.6271926
1704299172,55.6330904,7.6060551
1704299209,55.6345709,7.5768992
1704299221,55.6358405,7.6203824
1704299238,55.6358668,7.5989187
1704299251,55.638643,7.5917973
1704299280,55.6388732,7.6135871
1704299283,55.6414185,7.5846589
1704299299,55.6419055,7.6067907
1704299322,55.6449374,7.5999932
1704299340,55.647969,7.5931948
1891180129,54.94962,13.08387
1891180146,54.9502662,13.0963039
1891180150,54.9654944,13.1702899
1891180154,54.9852,13.21707
1891180160,55.00215,13.2318111
1891180168,55.00857,13.22857
1973563819,54.4616167,6.3901167
1973563857,54.4981167,6.3199333
1973563862,54.5408333,6.4158167
1973563864,54.5408833,6.3181667
1973798979,53.681999,6.440834
1973798980,53.683148,6.4489883
1973798981,53.6842969,6.4571426
1973798982,53.6854459,6.4652968
1973798983,53.6865948,6.4734511
1973798984,53.6872503,6.43875
1973798985,53.6877436,6.4816054
1973798986,53.6883992,6.4469013
1973798987,53.6888924,6.4897597
1973798988,53.6895481,6.4550525
1973798989,53.6900412,6.497914
1973798990,53.6906969,6.4632038
1973798992,53.69119,6.5060683
1973798993,53.6918457,6.4713551
1973798994,53.692501,6.436666
1973798995,53.6923387,6.5142225
1973798996,53.6929945,6.4795063
1973798997,53.6936498,6.4448142
1973798998,53.6941432,6.4876576
1973798999,53.6947986,6.4529625
1973799000,53.6952919,6.4958088
1973799001,53.6959473,6.4611107
1973799002,53.6964406,6.5039601
1973799003,53.697096,6.469259
1973799004,53.6975892,6.5121114
1973799005,53.6982446,6.4774072
1973799006,53.6993933,6.4855555
1973799007,53.7005419,6.4937037
1973799008,53.7016905,6.501852
1973799009,53.702839,6.5100002
1989704584,55.6027891,12.4542692
2075934746,54.5264678,11.6170279
2075934753,54.5272229,11.6082967
2075934759,54.5285472,11.5977312
2075934766,54.5300775,11.5871625
2075934777,54.5317246,11.5769715
2075934783,54.5335791,11.5671328
2075934789,54.5353028,11.6183819
2075934796,54.5357462,11.5569262
2075934802,54.5359736,11.6093962
2075934809,54.5370719,11.5988913
2075934815,54.5381155,11.5469013
2075934821,54.5383244,11.5891223
2075934828,54.5396679,11.5796832
2075934832,54.5403965,11.537612
2075934840,54.5412133,11.5704418
2075934851,54.5430335,11.5609231
2075934863,54.5432996,11.5277725
2075934875,54.5442943,11.6179065
2075934888,54.5447665,11.6089525
2075934899,54.5450588,11.5514473
2075934912,54.5455876,11.6000514
2075934929,54.5460954,11.5182962
2075934939,54.5465716,11.5910676
2075934945,54.54696,11.5427051
2075934951,54.5476112,11.5823961
2075934957,54.5488473,11.5737521
2075934963,54.5491041,11.5093574
2075934970,54.5494851,11.5333359
2075934976,54.5501878,11.5656708
2075934981,54.5518959,11.5242368
2075934993,54.5519933,11.5559788
2075934999,54.5524302,11.5002512
2075935005,54.5532947,11.6174315
2075935007,54.5535234,11.5477999
2075935010,54.5535338,11.6092803
2075935016,54.5541122,11.6012126
2075935022,54.5545109,11.5156597
2075935028,54.5548184,11.593029
2075935039,54.5555543,11.58511
2075935046,54.5556614,11.5389004
2075935053,54.5558637,11.4911347
2075935059,54.5564906,11.5770487
2075935065,54.5574547,11.5068078
2075935072,54.5576071,11.5689365
2075935078,54.5577051,11.5301797
2075935084,54.5589362,11.5605279
2075935090,54.5592958,11.4829292
2075935102,54.5599174,11.5219636
2075935108,54.5600958,11.5528815
2075935114,54.5604882,11.4979291
2075935120,54.5621482,11.542939
2075935126,54.5622862,11.6169557
2075935135,54.5623098,11.6096244
2075935146,54.5624695,11.5133808
2075935156,54.5626368,11.6023744
2075935186,54.5630565,11.5949754
2075935197,54.5631431,11.4741751
2075935209,54.5634974,11.5878251
2075935219,54.563505,11.5361238
2075935230,54.5635145,11.4898068
2075935242,54.5641244,11.5803616
2075935253,54.5648939,11.5729378
2075935264,54.5651216,11.5047102
2075935276,54.5653239,11.5282538
2075935301,54.565879,11.5650785
2075935313,54.5666583,11.5579951
2075935324,54.5669197,11.4811494
2075935336,54.5669966,11.4659612
2075935347,54.5674932,11.5199406
2075935357,54.5677327,11.4966859
2075935367,54.568031,11.5500357
2075935373,54.5693045,11.5420696
2075935385,54.5697452,11.5115078
2075935391,54.5703877,11.4729121
2075935394,54.5706957,11.4881404
2075935396,54.5707297,11.5345611
2075935402,54.5711694,11.4579353
2075935408,54.5719506,11.5035664
2075935414,54.5725072,11.5265168
2075935420,54.5737877,11.4798492
2075935432,54.5741665,11.4648314
2075935438,54.5743778,11.518292
2075935444,54.5744715,11.4951173
2075935451,54.576168,11.5104483
2075935457,54.5771632,11.4717286
2075935464,54.5771779,11.4868023
2075935470,54.5784409,11.501411
2075935476,54.5801595,11.4786268
2075935483,54.580577,11.4937417
2075935495,54.5831554,11.4855259
2075935545,55.7110322,10.5847221
2075935546,55.7137363,10.5847221
2075935547,55.7164319,10.5847026
2075935549,55.7218318,10.5847191
2075935554,55.7245274,10.5847176
2075935567,55.7272305,10.5847334
2075935574,55.7299262,10.5847319
2075935582,55.7326305,10.5847323
2075935589,55.7353257,10.5847307
2075935614,56.5079441,11.1837592
2075935624,56.5357859,11.1867768
2075935629,56.5469432,11.1870125
